MPN,Manufacturer Name, UPC, Product Name, Product Description, Product Price, Product URL, Image URL, Dealtime.co.uk Categorisation, Stock Availability, Stock Description, Standard Shipping, Weight
1129,WATERPROOF,427738,Waterproof Lynx 5mm Mens Wetsuit,A stylish and wearable wetsuit to make everyone jealous,169.00,http://192.168.1.125/deepblue08/dive/department/wetsuits/waterproof/product/waterproof-lynx-5mm-mens-wetsuit/427738,http://192.168.1.125/deepblue08uploadImages/small/product427738image1.jpeg,UK / Health & Beauty / Health / Vitamins & Nutrition,Y,Ships Next Day,0,5000
1129,WATERPROOF,427739,Waterproof Libra 5mm Mens Hooded Vest,An over vest that combines 5 mm of superior grade neoprene with our HAVS hood technology,99.00,http://192.168.1.125/deepblue08/dive/department/wetsuits/waterproof/product/waterproof-libra-5mm-mens-hooded-vest/427739,http://192.168.1.125/deepblue08uploadImages/small/product427739image.jpeg,UK / Health & Beauty / Health / Vitamins & Nutrition,Y,Ships Next Day,0,2000
1031,AQUA SPHERE,427740,Moby Kids Goggles,Moby Kids Goggles perfect for swimming and on holidays,5.99,http://192.168.1.125/deepblue08/dive/department/swimming/aqua-sphere/product/moby-kids-goggles/427740,http://192.168.1.125/deepblue08uploadImages/small/product427740image.jpeg,UK / Health & Beauty / Health / Vitamins & Nutrition,Y,Ships Next Day,0,250
1031,AQUA SPHERE,427742,Micro Fin,New Micro Fin from Aqua Sphere,12.99,http://192.168.1.125/deepblue08/dive/department/swimming/aqua-sphere/product/micro-fin/427742,http://192.168.1.125/deepblue08uploadImages/small/product427742image2.jpeg,UK / Health & Beauty / Health / Vitamins & Nutrition,Y,Ships Next Day,0,700
1060,MARES,427751,MARES DRAGON BCD MRS Plus,The Dragon offers the comfort of a traditional style BC without encumbrance or restrictions,339.00,http://192.168.1.125/deepblue08/dive/department/bcd-039s-and-wing-039s/mares/product/mares-dragon-bcd-mrs-plus/427751,http://192.168.1.125/deepblue08uploadImages/small/product427751image.jpeg,UK / Health & Beauty / Health / Vitamins & Nutrition,Y,Ships Next Day,0,10000
1060,MARES,427752,MARES KALIA MRS BCD,Kaila means style in Hawaiian for the elegant female diver who wants function and comfort allied with style and distinction,339.00,http://192.168.1.125/deepblue08/dive/department/bcd-039s-and-wing-039s/mares/product/mares-kalia-mrs-bcd/427752,http://192.168.1.125/deepblue08uploadImages/small/product427752image.jpeg,UK / Health & Beauty / Health / Vitamins & Nutrition,Y,Ships Next Day,0,10000
1060,MARES,427753,Mares Quattro Excel Fins - SPECIAL OFFER,Following numerous tests on new materials in the field and in the lab and after lengthy computer simulations intended to improve the performance of the Avanti Quattro the Mares Quattro Excel is born,59.95,http://192.168.1.125/deepblue08/dive/department/fins/mares/product/mares-quattro-excel-fins-special-offer-/427753,http://192.168.1.125/deepblue08uploadImages/small/product427753image1.png,UK / Health & Beauty / Health / Vitamins & Nutrition,Y,Ships Next Day,0,10000
1060,MARES,427754,MARES ORIGIN SPORT BCD,The ideal solution for schools and diving centers,195.00,http://192.168.1.125/deepblue08/dive/department/bcd-039s-and-wing-039s/mares/product/mares-origin-sport-bcd/427754,http://192.168.1.125/deepblue08uploadImages/small/product427754image.jpeg,UK / Health & Beauty / Health / Vitamins & Nutrition,Y,Ships Next Day,0,10000
1060,MARES,427757,Mares V32 Proton Metal,The Proton Metal is equipped with the brand new V32 first stage which immediately sets it apart,295.00,http://192.168.1.125/deepblue08/dive/department/regulators/mares/product/mares-v32-proton-metal/427757,http://192.168.1.125/deepblue08uploadImages/small/product427757image.jpeg,UK / Health & Beauty / Health / Vitamins & Nutrition,Y,Ships Next Day,0,2500
1060,MARES,427758,Mares V42 Proton Metal,Developed for the Mares 039Limited Edition039 range the Mares V42 Proton Metal is the most compact regulator characterised by its 039all metal039 technology,364.00,http://192.168.1.125/deepblue08/dive/department/regulators/mares/product/mares-v42-proton-metal/427758,http://192.168.1.125/deepblue08uploadImages/small/product427758image.jpeg,UK / Health & Beauty / Health / Vitamins & Nutrition,Y,Ships Next Day,0,2500
1076,SEAC SUB,427771,Seac X-LED Torch,New and incredibly stylish the Seac X-LED scuba diving torch is a great primary torch,199.00,http://192.168.1.125/deepblue08/dive/department/torches/seac/product/seac-x-led-torch/427771,http://192.168.1.125/deepblue08uploadImages/small/product427771image2.jpeg,UK / Health & Beauty / Health / Vitamins & Nutrition,Y,Ships Next Day,0,2500
